address,name,category,owning_class,python_class,method,binding_kind,ancestors,join_key
0x00401270,ChangeRenderedSetAction_Play,engine_internal,,,,,,
0x00406a30,Game_DestroyedPlayer,engine_internal,,,,,,
0x00407150,Game_ClearMissionTempDir,engine_internal,,,,,,
0x004351c0,ObjectClass_EnteredSetHandler,event_handler,,,,,,
0x004360c0,GetBoundingBox,engine_internal,,,,,,
0x00455060,NiRegister_TGDimmerController,nirtti_factory,,,,,,
0x00455320,NiFactory_TGDimmerController,nirtti_factory,,,,,,
0x00456740,NiRegister_TGFuzzyTriShape,nirtti_factory,,,,,,
0x004568e0,TGFuzzyTriShape_ctor,ctor,,,,,,
0x00456910,TGFuzzyTriShape_CreateClone,engine_internal,,,,,,
0x00456980,NiFactory_TGFuzzyTriShape,nirtti_factory,,,,,,
0x00456b70,TGFuzzyTriShape_vfn35,vtable_fn,,,,,,
0x00456f80,TGFuzzyTriShape_scalar_deleting_dtor,dtor,,,,,,
0x0046c280,CRect,engine_internal,,,,,,
0x00470dd0,swig_ArtificialIntelligence_GetAIByID,swig,ArtificialIntelligence,,GetAIByID,direct_unmatched,,class_prefix
0x00473830,swig_AIScriptAssist_GetIncomingTorpIDsInSet,swig,AIScriptAssist,,GetIncomingTorpIDsInSet,direct_unmatched,,class_prefix
0x0047c020,swig_ConditionScript_Create,swig,ConditionScript,ConditionScript,Create,swig_helper,TGCondition|TGObject,swig_helper_synth
0x0047d000,swig_FuzzyLogic_BreakIntoSets,swig,FuzzyLogic,,BreakIntoSets,direct_unmatched,,class_prefix
0x004890e0,OSTEventHandler_TargetListChanged,event_handler,,,,,,
0x00489470,OSTEventHandler_TargetGone,event_handler,,,,,,
0x00489570,OptimizedSelectTarget_TargetGone,engine_internal,,,,,,
0x0048bec0,OTREventHandler_SystemDisabled,event_handler,,,,,,
0x004a56a0,NiRegister_NiBinaryVoxelData,nirtti_factory,,,,,,
0x004a57f0,NiFactory_NiBinaryVoxelData,nirtti_factory,,,,,,
0x004a5890,NiBinaryVoxelData_RegisterStreamables,engine_internal,,,,,,
0x004a5b20,NiBinaryVoxelData_SaveBinary,engine_internal,,,,,,
0x004a7ae0,NiBinaryVoxelData_ctor,ctor,,,,,,
0x004a7b40,NiBinaryVoxelData_scalar_deleting_dtor,dtor,,,,,,
0x004ac000,NiRegister_NiBinaryVoxelExtraData,nirtti_factory,,,,,,
0x004ac150,NiFactory_NiBinaryVoxelExtraData,nirtti_factory,,,,,,
0x004e1450,NiClusterAccumulator_scalar_deleting_dtor,dtor,,,,,,
0x004e9c10,ShieldPatchParticles_PatchInstance,engine_internal,,,,,,
0x005046b0,MultiplayerWindow_ReceiveMessageHandler,event_handler,,,,,,
0x00504890,MultiplayerWindow_StartGameHandler,event_handler,,,,,,
0x00504c10,MultiplayerWindow_ReceiveMessage,engine_internal,,,,,,
0x00504c70,Handler_UICollisionSetting_0x16,re_dispatcher_handler,,,,,,
0x00504f10,CreateMultiplayerGame,engine_internal,,,,,,
0x005438b0,RadarScope_UpdateBlips,engine_internal,,,,,,
0x00565d40,RepairSubsystem_HandleHitEvent,engine_internal,,,,,,
0x00566f50,SensorSubsystem_HandleEnterSet,engine_internal,,,,,,
0x00591b60,Ship_SetModelName,engine_internal,,,,,,
0x00593650,DoDamage_FromPosition,engine_internal,,,,,,
0x00593e50,ProcessDamage,engine_internal,,,,,,
0x00594020,DoDamage,engine_internal,,,,,,
0x005952d0,DoDamage_CollisionContacts,engine_internal,,,,,,
0x0059d5b0,swig_ObjectGroup_ForceToGroup,swig,ObjectGroup,,ForceToGroup,direct_unmatched,TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject,class_prefix
0x005a1f50,Ship_Deserialize,engine_internal,,,,,,
0x005af390,CRect,engine_internal,,,,,,
0x005b0060,CollisionDamageWrapper,engine_internal,,,,,,
0x005b0e80,Ship_InitObject,engine_internal,,,,,,
0x005b17f0,Ship_WriteStateUpdate,engine_internal,,,,,,
0x005b3fb0,Ship_SetupProperties,engine_internal,,,,,,
0x005bad40,SWIG_InitAppc_pre,engine_internal,,,,,,
0x005bae00,SWIG_GetPointerObj,engine_internal,,,,,,
0x005bb040,SWIG_MakePtr,engine_internal,,,,,,
0x005bb0e0,SWIG_NewPointerObj,engine_internal,,,,,,
0x005bc220,swig_TGLocDBWrapperSerialize,swig,,,,,,
0x005bc2d0,swig_TGLocDBWrapperUnserialize,swig,,,,,,
0x005bc380,swig_TGActionManager_SkipEvents,swig,TGActionManager,,SkipEvents,direct_unmatched,TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject,class_prefix
0x005bc3b0,swig_TGActionManager_RegisterAction,swig,TGActionManager,,RegisterAction,direct_unmatched,TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject,class_prefix
0x005bc470,swig_TGActionManager_KillActions,swig,TGActionManager,,KillActions,direct_unmatched,TGEventHandlerObject|TGTemplatedAttrObject|TGAttrObject|TGObject,class_prefix
0x005bc500,swig_ChaseCameraMode_Cast,swig,ChaseCameraMode,ChaseCameraMode,Cast,swig_helper,,swig_helper_synth
0x005bc570,swig_TargetCameraMode_Cast,swig,TargetCameraMode,TargetCameraMode,Cast,swig_helper,,swig_helper_synth
0x005bc5e0,swig_ZoomTargetMode_Cast,swig,ZoomTargetMode,ZoomTargetMode,Cast,swig_helper,,swig_helper_synth
0x005bc650,swig_MapCameraMode_Cast,swig,MapCameraMode,MapCameraMode,Cast,swig_helper,,swig_helper_synth
0x005bc6c0,swig_DropAndWatchMode_Cast,swig,DropAndWatchMode,DropAndWatchMode,Cast,swig_helper,,swig_helper_synth
0x005bc730,swig_PlacementWatchMode_Cast,swig,PlacementWatchMode,PlacementWatchMode,Cast,swig_helper,,swig_helper_synth
0x005bc7a0,swig_LockedPositionMode_Cast,swig,LockedPositionMode,LockedPositionMode,Cast,swig_helper,,swig_helper_synth
0x005bc810,swig_TorpCameraMode_Cast,swig,TorpCameraMode,TorpCameraMode,Cast,swig_helper,,swig_helper_synth
0x005bc880,swig_PlaceByDirectionMode_Cast,swig,PlaceByDirectionMode,PlaceByDirectionMode,Cast,swig_helper,,swig_helper_synth
0x005bc8f0,swig_BreakIntoSets,swig,,,,,,
0x005bc990,swig_DisplayCollisionTests,swig,,,,,,
0x005bc9d0,swig_SubsystemList_Cast,swig,SubsystemList,SubsystemList,Cast,swig_helper,,swig_helper_synth
0x005bca40,swig_delete_NiFrustum,swig,NiFrustum,NiFrustum,delete,swig_dtor,,swig_ctor_dtor
0x005bcab0,swig_NiFrustum_m_fLeft_set,swig,NiFrustum,NiFrustum,m_fLeft,swig_field_accessor,,swig_accessor
0x005bcb30,swig_NiFrustum_m_fLeft_get,swig,NiFrustum,NiFrustum,m_fLeft,swig_field_accessor,,swig_accessor
0x005bcb90,swig_NiFrustum_m_fRight_set,swig,NiFrustum,NiFrustum,m_fRight,swig_field_accessor,,swig_accessor
0x005bcc10,swig_NiFrustum_m_fRight_get,swig,NiFrustum,NiFrustum,m_fRight,swig_field_accessor,,swig_accessor
0x005bcc80,swig_NiFrustum_m_fTop_set,swig,NiFrustum,NiFrustum,m_fTop,swig_field_accessor,,swig_accessor
0x005bcd00,swig_NiFrustum_m_fTop_get,swig,NiFrustum,NiFrustum,m_fTop,swig_field_accessor,,swig_accessor
0x005bcd70,swig_NiFrustum_m_fBottom_set,swig,NiFrustum,NiFrustum,m_fBottom,swig_field_accessor,,swig_accessor
0x005bcdf0,swig_NiFrustum_m_fBottom_get,swig,NiFrustum,NiFrustum,m_fBottom,swig_field_accessor,,swig_accessor
0x005bce60,swig_NiFrustum_m_fNear_set,swig,NiFrustum,NiFrustum,m_fNear,swig_field_accessor,,swig_accessor
0x005bcee0,swig_NiFrustum_m_fNear_get,swig,NiFrustum,NiFrustum,m_fNear,swig_field_accessor,,swig_accessor
0x005bcf50,swig_NiFrustum_m_fFar_set,swig,NiFrustum,NiFrustum,m_fFar,swig_field_accessor,,swig_accessor
0x005bcfd0,swig_NiFrustum_m_fFar_get,swig,NiFrustum,NiFrustum,m_fFar,swig_field_accessor,,swig_accessor
0x005bd040,swig_NiColor_r_set,swig,NiColor,NiColor,r,swig_field_accessor,,swig_accessor
0x005bd0c0,swig_NiColor_r_get,swig,NiColor,NiColor,r,swig_field_accessor,,swig_accessor
0x005bd120,swig_NiColor_g_set,swig,NiColor,NiColor,g,swig_field_accessor,,swig_accessor
0x005bd1a0,swig_NiColor_g_get,swig,NiColor,NiColor,g,swig_field_accessor,,swig_accessor
0x005bd210,swig_NiColor_b_set,swig,NiColor,NiColor,b,swig_field_accessor,,swig_accessor
0x005bd290,swig_NiColor_b_get,swig,NiColor,NiColor,b,swig_field_accessor,,swig_accessor
0x005bd300,swig_new_NiColor,swig,NiColor,NiColor,new,swig_ctor,,swig_ctor_dtor
0x005bd390,swig_delete_NiColor,swig,NiColor,NiColor,delete,swig_dtor,,swig_ctor_dtor
0x005bd400,swig_TGColorA_r_set,swig,TGColorA,TGColorA,r,swig_field_accessor,NiColorA,swig_accessor
0x005bd480,swig_TGColorA_r_get,swig,TGColorA,TGColorA,r,swig_field_accessor,NiColorA,swig_accessor
0x005bd4e0,swig_TGColorA_g_set,swig,TGColorA,TGColorA,g,swig_field_accessor,NiColorA,swig_accessor
0x005bd560,swig_TGColorA_g_get,swig,TGColorA,TGColorA,g,swig_field_accessor,NiColorA,swig_accessor
